Year,Month,Day,Hour,TwitterVolume
2011,10,07,22,73049
2011,10,07,23,59292
2011,10,08,00,52147
2011,10,08,01,49355
2011,10,08,02,50587
2011,10,08,03,49862
2011,10,08,04,51205
2011,10,08,05,57330
2011,10,08,06,67839
2011,10,08,07,81610
2011,10,08,08,95520
2011,10,08,09,101872
2011,10,08,10,97903
2011,10,08,11,88261
2011,10,08,12,79823
2011,10,08,13,76832
2011,10,08,14,75959
2011,10,08,15,70177
2011,10,08,16,73094
2011,10,08,17,75257
2011,10,08,18,76815
2011,10,08,19,81676
2011,10,08,20,85432
2011,10,08,21,83803
2011,10,08,22,53312
2011,10,09,12,32933
2011,10,09,13,86577
2011,10,09,14,84727
2011,10,09,15,79112
2011,10,09,16,76510
2011,10,09,17,78417
2011,10,09,18,83662
2011,10,09,19,90689
2011,10,09,20,94633
2011,10,09,21,85917
2011,10,09,22,69932
2011,10,09,23,56876
2011,10,10,00,49139
2011,10,10,01,43053
2011,10,10,02,41689
2011,10,10,03,42971
2011,10,10,04,48126
2011,10,10,05,57705
2011,10,10,06,72709
2011,10,10,07,89754
2011,10,10,08,104722
2011,10,10,09,106180
2011,10,10,10,98565
2011,10,10,11,89172
2011,10,10,12,91461
2011,10,10,13,88954
2011,10,10,14,86665
2011,10,10,15,88479
2011,10,10,16,95571
2011,10,10,17,97645
2011,10,10,18,102037
2011,10,10,19,108237
2011,10,10,20,105571
2011,10,10,21,90704
2011,10,10,22,66557
2011,10,10,23,51564
2011,10,11,00,44981
2011,10,11,01,39907
2011,10,11,02,39117
2011,10,11,03,42965
2011,10,11,04,49648
2011,10,11,05,65030
2011,10,11,06,80458
2011,10,11,07,93402
2011,10,11,08,104045
2011,10,11,09,104730
2011,10,11,10,95901
2011,10,11,11,84885
2011,10,11,12,79731
2011,10,11,13,82791
2011,10,11,14,82946
2011,10,11,15,83009
2011,10,11,16,92948
2011,10,11,17,101192
2011,10,11,18,128538
2011,10,11,19,145349
2011,10,11,20,112896
2011,10,11,21,99487
2011,10,11,22,67986
2011,10,11,23,49033
2011,10,12,00,40554
2011,10,12,01,39232
2011,10,12,02,37746
2011,10,12,03,36511
2011,10,12,04,42724
2011,10,12,05,57625
2011,10,12,06,70771
2011,10,12,07,91350
2011,10,12,08,103880
2011,10,12,09,105999
2011,10,12,10,95660
2011,10,12,11,86549
2011,10,12,12,75648
2011,10,12,13,75372
2011,10,12,14,80137
2011,10,12,15,81350
2011,10,12,16,82626
2011,10,12,17,94455
2011,10,12,18,99740
2011,10,12,19,107033
2011,10,12,20,107520
2011,10,12,21,95338
2011,10,12,22,74481
2011,10,12,23,62215
2011,10,13,00,1426
2011,10,14,19,20929
2011,10,14,20,95375
2011,10,14,21,94526
2011,10,14,22,82973
2011,10,14,23,67379
2011,10,15,00,57787
2011,10,15,01,53488
2011,10,15,02,55211
2011,10,15,03,54895
2011,10,15,04,56337
2011,10,15,05,42013
2011,10,15,11,61848
2011,10,15,12,92858
2011,10,15,13,56666
2011,10,15,14,86079
2011,10,15,15,82711
2011,10,15,16,83610
2011,10,15,17,87861
2011,10,15,18,89589
2011,10,15,19,95571
2011,10,15,20,100484
2011,10,15,21,100078
2011,10,15,22,87382
2011,10,15,23,75155
2011,10,16,00,63215
2011,10,16,01,57271
2011,10,16,02,51554
2011,10,16,03,56921
2011,10,16,04,56944
2011,10,16,05,63933
2011,10,16,06,78354
2011,10,16,07,89497
2011,10,16,08,102633
2011,10,16,09,108202
2011,10,16,10,105438
2011,10,16,11,101565
2011,10,16,12,96209
2011,10,16,13,102326
2011,10,16,14,96466
2011,10,16,15,93659
2011,10,16,16,94777
2011,10,16,17,96700
2011,10,16,18,89961
2011,10,16,19,85912
2011,10,16,20,96232
2011,10,16,21,86968
2011,10,16,22,72834
2011,10,16,23,58928
2011,10,17,00,55349
2011,10,17,01,49225
2011,10,17,02,50299
2011,10,17,03,54648
2011,10,17,04,64014
2011,10,17,05,73072
2011,10,17,06,39473
2011,10,18,17,24328
2011,10,18,18,109522
2011,10,18,19,110831
2011,10,18,20,103450
2011,10,18,21,91747
2011,10,18,22,72404
2011,10,18,23,58523
2011,10,19,00,52115
2011,10,19,01,52182
2011,10,19,02,51755
2011,10,19,03,55216
2011,10,19,04,64657
2011,10,19,05,77484
2011,10,19,06,87820
2011,10,19,07,100076
2011,10,19,08,109727
2011,10,19,09,114311
